Comp,Epsilon,cm0,cm1,cm2,sTot,pTot,dTot,fTot,NAtom,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
LiNbO3,43.9,4230.866766,3273.447321,114.2469961,1.6,2.4,0.8,0,10,29.568674,31.86260749,2.920838303,2.58,2.46,1.071372951,57.144,66.16220843,158.76,0.7659886,5,4.412866328,0.008391863,0.003546776,0.011805846,0.002642485,0,-2.913254996,3.3358,5.592399211,5.592399207,5.592399202,55.67586873,55.67586882,55.67586871
LiTaO3,40.6,16290.27085,13420.92414,129.6211922,1.8,2.4,0.6,2.8,10,47.176976,66.97741046,2.966211366,2.56,2.46,1.090247678,53.544,63.85541969,158.76,0.7855699,5,7.178368478,0.008287715,0.003556176,0.011715203,0.002622197,0,-3.144566699,3.7003,5.533819201,5.533819201,5.533819203,56.14486292,56.14486288,56.1448629
Mg3B7ClO13,12,1713.641777,510.8404224,452.0275876,2,2.666666667,0,0,96,16.33425,5.668233611,0.620447664,2.75375,2.13,0.819211066,18.72625,21.00481866,65.65,2.3359142,24,2.856359953,0.019326352,0.006059126,0.025615232,0.006421672,0,-2.934410634,5.9272,8.6430927,8.62880872,12.22371966,90,90,90
MgO,2.95,209.5010086,58.5539317,0,2,2,0,0,2,20.152,4.153,9.648067065,2.375,2.13,1.065,38.065,32.825,65.65,0.4370625,2,3.471432635,0.003747577,0.002036249,0.006495771,0.001628473,0,-3.070604288,4.4449,3.009788132,3.009788134,3.00978813,59.99999993,59.99999991,60.00000002
MnO,4.95,1355.446269,934.6016893,68.66675308,2,2,2.5,0,4,35.468522,19.469522,12.39061732,2.495,1.89,0.945,36.02,30.78,61.56,0.2735,2,5.190707717,0.003585852,0.001610445,0.005731976,0.001852553,0,-2.000399532,1.6823,3.197355603,3.197453216,5.448588156,89.99985608,72.93751744,59.99893076
AsH6NO4,79,2554.537465,1965.148269,158.5874911,1.5,1.833333333,0.833333333,0,24,13.24771625,19.86073598,0.159054915,2.681666667,1.26,0.582549473,7.116887045,6.890292262,25.29289258,0.7521041,12,2.262811331,0.037399499,0.007624468,0.050591472,0.018833234,0.035826407,-1.242631435,4.1512,6.720786293,6.720786293,6.720786293,110.8019578,110.8019578,106.8413246
PH6NO4,55.5,561.7571288,308.537162,92.32570053,1.5,1.833333333,0,0,24,9.585396833,9.499913947,0.158577249,2.6825,1.25,0.581837964,6.711053712,5.55668142,20.42289258,0.6932574,12,1.761370099,0.037633134,0.007371608,0.050667611,0.020529419,0,-1.560464394,5.5064,6.563576748,6.563576744,6.563576743,105.4705494,111.5078371,111.5078369
NaCl,2.33,462.9476447,143.7214087,0,1.5,2.5,0,0,2,29.21988464,6.23011536,13.94576555,2.045,2.23,1.115,93.815,68.885,137.77,0.7771673,2,2.105306383,0.002106018,0.001035937,0.003470049,0.000961063,0,-2.104797979,5.0033,4.024635116,4.024635115,4.02463512,59.99999995,59.99999997,60.00000001
NaClO3,4.8,972.5720219,407.2900064,407.2900064,1.8,3.4,0,0,20,21.28735386,7.581277249,3.857755699,2.882,2.51,0.98200611,40.67,61.48971166,157.46,0.8595548,5,2.361653763,0.007845009,0.002882189,0.010272674,0.001827282,0.005435714,-1.214489723,5.6182,6.68960613,6.68960613,6.68960613,90,90,90
NaF,1.73,179.5484022,75.859365,0,1.5,2.5,0,0,2,20.99408622,1.995683059,10.402189,2.455,3.05,1.525,83.2,79.5,159,0.7044193,2,2.692671781,0.003855908,0.002784032,0.007673426,0.001112783,0,-2.957768971,6.0943,3.320747621,3.320747623,3.32074762,60.00000003,60.00000001,59.99999997
TePb,33,19722.23004,6438.943093,0,2,3,10,7,2,167.4,39.8,78.96869773,1.95,0.3,0.15,42.05,5.05,10.1,0.9455375,2,7.854950499,0.0006647,4.52E-05,0.000720688,0.000610036,0,-0.413971445,0.8072,4.643035649,4.643035649,4.64303565,59.99999992,59.99999992,59.99999995
RbP(HO2)2,36.4,3302.429827,2584.295762,467.5647978,1.625,2.375,0,0,16,22.80669525,25.320101,0.438956838,2.64625,2.62,0.898734353,46.71302686,103.0464387,314.2928926,1.9434722,8,2.709811797,0.022101969,0.008327034,0.030453692,0.00389699,0,-2.242482319,5.2329,6.653561133,6.653561136,6.60119464,108.0008058,108.0008058,112.7557603
Se,7.73,14313.45547,4073.098675,4029.104216,2,4,10,0,64,78.971,0,78.971,2.55,0,0,26.24,0,0,0.2744,1,3.43840695,0.000907597,0,0.000907597,0.000907597,0,0,1.6545,10.15386339,15.30902371,15.73918137,90,94.04286936,90
Si,12.1,364.3982143,198.8596778,0,2,2,0,0,2,28.085,0,28.085,1.9,0,0,37.31,0,0,0.2299968,1,2.281194137,0.001393319,0,0.001393319,0.001393319,0,0,0.6119,3.866974623,3.866974624,3.86697462,60.00000003,60.00000002,60.00000002
SnO2,4.8,6682.82678,5316.219679,96.31384144,2,3.333333333,3.333333333,0,6,50.236,48.41842973,7.494470778,2.946666667,1.48,0.697678691,17.62666667,17.51739199,37.16,0.4800778,3,6.60886696,0.005598832,0.002097642,0.007370219,0.002232171,0,-2.124798814,0.6519,3.24322132,4.82933499,4.83533691,90,90,90
SrO,3.31,3098.013091,69.00727809,0,2,2,0,0,2,51.8095,35.8105,13.52871944,2.195,2.49,1.245,95.62,90.38,180.76,1.0213,2,4.877525362,0.002797183,0.001959371,0.00548558,0.000871525,0,-3.093705876,3.2748,3.681305543,3.681305542,3.68130554,60.00000002,60.00000003,60.00000006
TiO2,1.921,1423.363294,705.2443182,686.3179128,2,2.666666667,0.666666667,0,12,26.62166667,15.02271927,6.854055051,2.806666667,1.9,0.89566859,41.60666667,51.43023322,109.1,0.3725773,3,3.615938926,0.005878425,0.002178551,0.007706853,0.002280102,0,-3.518493931,2.6774,3.76693666,6.435368123,6.616212582,106.1821843,90,107.0181442
ZnS,5.2,1783.764344,358.3860251,0,2,2,5,0,2,48.72,16.66,21.51152299,2.115,0.93,0.465,31.865,6.935,13.87,0.4676455,2,3.998929486,0.001673557,0.000207846,0.001928215,0.001419098,0,-1.140633007,2.0186,3.853922998,3.853922998,3.853923,59.99999998,59.99999998,59.99999999
ZnSe,5.755,2573.997571,1548.880327,0,2,2,10,0,2,72.1755,6.7955,35.76784352,2.1,0.9,0.45,32.52,6.28,12.56,0.5372072,2,5.064264209,0.001227251,0.000101343,0.001348592,0.001100529,0,-0.711749569,1.1693,4.060447342,4.060447347,4.06044735,60.00000006,60.00000002,60.0000001
ZrO2,5.75,5018.275151,3054.838607,3031.643886,2,2.666666667,0.666666667,0,12,41.074,35.46140508,7.354572133,2.736666667,2.11,0.994663539,43.82666667,54.56978733,115.76,0.464525,3,5.563610493,0.005542559,0.002252892,0.007439987,0.001879369,0,-3.832750589,3.4737,5.233649151,5.2684599,5.418476207,90,100.0548452,90
